AAPL,GOOGL,NDX
96.8,756.57,4665.054
96.89,756.16,4665.054
96.95,755.62,4665.826
96.97,756.3599,4667.081
96.96,755.67,4664.491
97.045,755.31,4666.484
97.095,753.98,4666.026
97.145,755.712,4669.176
97.23,755.57,4670.209
97.3,755.615,4671.427
97.24,756.23,4671.472
97.3699,756.52,4674.506
97.35,756.38,4672.546
97.27,755.81,4672.679
97.32,756.54,4673.773
97.46,756.67,4676.43
97.4,756.4568,4677.167
97.49,757.1,4677.582
97.49,756.405,4677.685
97.5,756.882,4680.184
97.6,756.905,4681.667
97.7,757.625,4682.866
97.74,758.29,4683.738
97.85,758.11,4683.699
97.925,757.63,4683.779
97.94,758.1,4683.602
97.928,757.99,4682.995
97.87,758.225,4683.739
97.7486,758.29,4683.393
97.73,758.51,4683.903
97.68,758.215,4684.108
97.77,758.6,4686.049
97.82,759.1023,4687.437
97.76,758.61,4685.38
97.7759,758.75,4686.096
97.745,758.74,4685.486
97.73,758.71,4684.798
97.7,758.7305,4684.485
97.6699,758.71,4683.397
97.536,758.39,4680.853
97.52,758.67,4681.35
97.52,758.8,4682.194
97.514,758.805,4681.44
97.4843,758.78,4679.558
97.5137,758.63,4680.778
97.62,758.771,4681.443
97.63,758.57,4681.222
97.644,758.405,4680.726
97.6201,758.25,4680.313
97.68,758.53,4681.99
97.6058,758.44,4680.149
97.6,758.55,4680.799
97.604,758.5,4679.553
97.7434,758.21,4679.044
97.76,758.5,4680.422
97.82,759.14,4682.219
97.84,758.7825,4682.474
97.8,758.89,4681.691
97.8,758.84,4682.03
97.78,758.97,4681.677
97.79,758.88,4682.076
97.77,758.825,4683.029
97.7,758.58,4681.822
97.615,758.549,4679.68
97.569,758.3575,4678.199
97.5841,758.7799,4678.811
97.59,758.85,4679.072
97.57,758.95,4679.189
97.56,758.655,4679.097
97.565,759.02,4678.74
97.6,758.98,4678.489
97.67,758.86,4678.93
97.68,758.8003,4678.425
97.6875,758.9352,4678.657
97.64,758.7,4677.686
97.63,758.45,4677.797
97.63,758.85,4678.522
97.57,759,4678.344
97.577,758.796,4678.042
97.5733,758.95,4678.593
97.475,758.51,4677.524
97.44,758.65,4676.804
97.4516,758.275,4676.123
97.465,758.07,4675.281
97.38,757.46,4672.878
97.165,755.708,4661.686
97.04,754.86,4656.014
97.195,755.59,4659.451
97.1742,755.32,4660.639
97.0999,755.36,4658.504
96.92,754.76,4652.373
96.93,754.6125,4652.898
96.94,754.2,4652.937
97.0141,754.49,4653.608
97.02,754.25,4654.811
96.955,754.1662,4654.03
96.9633,754.35,4654.905
96.96,754,4653.752
96.97,753.75,4653.581
96.935,753.61,4652.342
96.94,753.43,4652.79
96.891,753.12,4651.692
96.92,753.071,4650.934
96.9,753.225,4649.127
96.94,752.935,4650.235
96.98,753.13,4652.574
97.07,753.3129,4654.147
97.0235,753.07,4653.034
97.0601,753.56,4653.647
97.0735,753.615,4654.692
97.04,754.3667,4655.388
96.97,753.56,4653.567
96.975,753.03,4653.56
97.01,753.7,4654.877
97.06,754.32,4657.547
97.03,754.62,4657.477
96.98,754.295,4657.741
96.95,753.97,4657.998
97.01,753.88,4657.103
97.02,754.06,4658.841
97.055,754.395,4659.085
97.06,753.96,4659.155
97.09,754.0001,4659.374
97.0762,754,4659.258
97.0759,753.6,4658.26
97.0919,754.06,4658.206
97.135,754.3008,4660.867
97.0856,754.31,4659.725
97.08,753.905,4658.984
97.12,753.66,4659.868
97.065,753.61,4659.02
96.985,753.43,4658.377
96.9761,753.79,4659.221
96.95,753.41,4659.186
96.95,753.33,4659.128
97.005,753.225,4659.103
97.005,753.069,4659.502
96.98,752.8,4658.734
96.975,753.07,4658.126
97,753.175,4659.684
96.965,753.26,4659.71
97.03,754.41,4663.553
97.1055,754.77,4665.773
97.115,754.7,4664.82
97.135,754.715,4664.609
97.13,754.15,4663.194
97.19,754.31,4663.398
97.213,754.63,4664.694
97.18,754.3492,4664.719
97.185,754.49,4664.558
97.21,754.62,4665.536
97.2350000000001,754.7689,4666.253
97.25,754.62,4666.03
97.28,754.35,4665.914
97.23,754.33,4665.07
97.245,754.44,4665.442
97.2599,754.44,4666.16
97.24,755,4666.427
97.27,755.23,4666.744
97.27,754.92,4665.953
97.175,754.655,4665.088
97.2,754.435,4664.684
97.15,754.24925,4664.328
97.1974,754.0635,4664.437
97.1901,753.86,4664.251
97.17,754.02,4664.076
97.17,753.7,4663.91
97.15,753.34,4664.051
97.185,753.86,4664.7
97.17,754.28,4665.307
97.18,754.845,4665.703
97.2,755.28,4667.736
97.26,756.01,4671.102
97.255,756.27,4671.675
97.27,756.41,4672.157
97.265,756.33,4671.777
97.25,756.19,4671.214
97.2601,756.09,4671.572
97.2762,755.63,4670.737
97.24,755.69,4669.434
97.245,755.33,4669.261
97.25,755.61,4669.669
97.252,755.36,4668.939
97.275,754.88,4668.414
97.28,754.88,4669.085
97.34,755,4668.923
97.415,755.52,4668.947
97.4101,755.29,4668.798
97.385,755.1,4668.125
97.3601,755.035,4668.203
97.355,754.91,4668.048
97.39,754.45,4667.441
97.435,754.62,4667.671
97.427,754.47,4666.684
97.44,754.815,4667.789
97.42,754.74,4668.139
97.41,754.616666666667,4667.857
97.4137,754.493333333333,4667.957
97.4,754.37,4667.698
97.4162,755.42,4669.448
97.445,755.2401,4669.569
97.45,755.41,4669.309
97.3915,755.64,4668.451
97.375,755.33,4668.674
97.3525,755.425,4668.646
97.36,755.51,4668.206
97.385,755.3275,4668.592
97.355,755.77,4669.26
97.32,755.65,4667.96
97.339,755.385,4668.085
97.31,755.2747,4667.614
97.325,755.32235,4667.895
97.35,755.37,4667.883
97.25,755.25,4667.516
97.29,755.575,4667.649
97.2571,755.74,4667.797
97.2350000000001,756.035,4667.777
97.2350000000001,755.935,4667.229
97.255,755.4701,4666.982
97.234,755.7125,4667.434
97.224,756.09,4667.762
97.225,756.1,4667.252
97.2351,755.59,4666.508
97.194,755.8999,4665.999
97.203,755.94,4666.328
97.21,755.86,4666.116
97.22,756.1,4666.787
97.2,755.6075,4666.786
97.215,755.96,4666.681
97.2099,755.5775,4666.615
97.2,755.795,4666.237
97.12,755.632,4663.884
97.12,755.35,4661.865
97.045,754.94,4657.975
97.06,755.21,4658.039
97.0559,754.67,4656.804
97.005,754.485,4655.855
97.0405,754.59,4656.584
97.06,754.3,4656.314
97.07,754.82,4657.179
97.055,754.98,4657.527
97.01,754.97,4657.282
96.98,754.71,4657.147
96.98,754.63,4656.499
96.981,754.31,4656.052
96.98,754.97,4656.903
96.995,754.7275,4656.816
97,754.985,4657.83
96.98,755.09,4658.212
96.96,755.2175,4658.152
96.99,755.29,4659.311
96.9741,755.4,4660.064
96.996,755.4,4660.119
96.98,755.3175,4659.663
96.96,755.185,4659.529
96.95,755.34,4659.661
96.9358,755.22,4659.238
96.96,755.615,4659.99
96.92,755.8275,4660.132
96.91,755.87,4659.701
96.9351,755.48,4659.523
96.9,755.425,4658.982
96.895,755.7225,4659.175
96.91,755.245,4658.992
96.9,755.25,4658.635
96.89,755.24,4658.466
96.875,755.1,4658.384
96.9,755.66,4659.462
96.93,755.6,4659.983
96.885,755.155,4659.299
96.8941,755.23,4659.446
96.92,755.32,4659.472
96.9538,755.59,4660.556
96.9063,755.46,4661.209
96.905,755.52,4660.998
96.89,755.3,4660.356
96.825,755.03,4658.962
96.84,754.5725,4656.871
96.845,754.35,4657.104
96.845,754.35,4656.92
96.79,754.485,4655.7
96.725,754.254,4655.008
96.765,754.16,4655.094
96.71,754.09,4654.548
96.675,754.3678,4655.695
96.641,754.29,4655.471
96.68,754.73,4656.134
96.66,754.53,4656.097
96.67,754.745,4655.597
96.743,754.96,4657.269
96.63,755.0375,4656.606
96.69,755.14,4657.846
96.67,755.29875,4657.298
96.66,755.4575,4660.919
96.67,755.39,4662.652
96.69,755.685,4663.136
96.6901,755.98,4665.014
96.73,756,4666.869
96.76,755.94,4669.083
96.7741,755.78,4668.753
96.729,755.61,4667.652
96.766,756.14,4670.635
96.74,755.9382,4671.36
96.73,756.01,4670.426
96.75,755.87,4670.136
96.741,756.2488,4670.035
96.7611000000001,756.2494,4670.664
96.775,756.25,4671.248
96.751,756.24,4672.202
96.75,755.96,4670.81
96.76,755.9,4670.876
96.76,756.2189,4671.368
96.76,755.94,4671.597
96.74,756.53,4672.48
96.715,756.22,4673.202
96.647,756.48,4671.168
96.699,756.525,4671.357
96.6645,756.57,4670.133
96.6701,756.04,4669.502
96.664,756.17,4669.431
96.65,756.07,4669.562
96.659,756,4668.794
96.63,756,4668.343
96.65,755.807,4668.492
96.6733,755.7,4668.778
96.75,755.55,4669.502
96.73,755.75,4669.41
96.77,755.91,4669.935
96.78,755.64,4670.211
96.75,755.67,4669.14
96.745,755.67,4667.585
96.751,755.71,4668.11
96.82,755.9,4669.69
96.8389,756.06,4670.091
96.85,756.22,4670.546
96.83,756.22,4670.607
96.795,756.13,4670.323
96.79,756.3,4670.337
96.73,756.63,4669.721
96.7647,757,4671.334
96.73,757.26,4671.465
96.7102,757.04,4671.579
96.686,756.95,4671.567
96.6726,756.7325,4671.498
96.659,755.9101,4670.171
96.6532,756.075,4669.952
96.6644,756,4670.783
96.595,755.5701,4668.489
96.57,755.56,4668.198
96.5211,755.5,4667.895
96.5,755.6,4666.178
96.45,755.58,4665.875
96.435,756.4099,4666.614
96.496,756.27,4667.291
96.445,756.23,4667.59
96.4549,756.16,4667.341
96.56,756.2675,4668.928
96.615,756.38,4668.483
96.615,756.86,4669.344
96.584,756.8499,4669.159
96.563,757.31,4669.702
96.541,757.09,4669.626
96.525,757.185,4668.58
96.55,757.08,4669.047
96.5751,756.69,4668.529
96.587,757.1425,4669.534
96.637,757.02,4669.13
96.675,756.955,4671.151
96.65,756.55,4670.588
96.665,756.83,4670.915
96.745,757,4672.083
96.74,757.0575,4671.646
96.745,756.9,4672.32
